Loss_Beta_optimizer,Loss_vae,Loss_beta_vae
14627.63,13713.503,26477.88
13638.52,13683.519,26150.953
13229.08,13657.427,25983.564
12959.022,13631.049,25873.545
12774.191,13608.461,25797.42
12624.7705,13587.873,25743.021
12507.618,13569.318,25699.275
12411.102,13551.626,25661.781
12336.016,13534.895,25628.416
12265.382,13519.862,25599.578
12209.7295,13505.113,25575.951
12157.763,13491.189,25552.62
12117.876,13477.983,25532.053
12077.588,13465.747,25512.414
12045.285,13454.126,25496.266
12012.911,13442.79,25482.033
11985.387,13432.157,25468.193
11958.42,13421.733,25455.13
11934.697,13411.77,25443.148
11911.56,13402.441,25431.275
11891.299,13393.176,25420.094
11871.184,13384.161,25409.465
11855.092,13375.768,25399.814
11837.862,13367.666,25390.367
11822.473,13359.829,25381.781
